"","Checking or savings account","Credit card or prepaid card","Credit reporting, credit repair services, or other personal consumer reports","Debt collection","Money transfer, virtual currency, or money service","Mortgage","Payday loan, title loan, or personal loan","Student loan","Vehicle loan or lease"
"aaa",1,8,23,1,0,0,0,0,0
"aaaaaa",0,1,0,0,0,0,0,0,0
"aaac",0,0,2,0,0,0,0,0,0
"aaacs",0,0,1,0,0,0,0,0,0
"aaadvantage",0,2,0,0,0,0,0,0,0
"aaarrrrgghhhhhh",0,0,0,0,0,1,0,0,0
"aab",0,0,0,2,0,0,0,0,0
"aac",0,0,7,0,0,0,0,0,4
"aacbna",0,1,0,0,0,0,0,0,0
"aacount",1,0,3,0,1,0,0,0,0
"aad",0,0,0,0,0,0,0,2,0
"aadvantage",17,222,5,0,0,0,0,0,0
"aadvantages",0,1,0,0,0,0,0,0,0
"aadvatage",0,2,0,0,0,0,0,0,0
"aafees",0,0,0,1,0,0,0,0,0
"aafes",0,11,25,17,0,0,0,0,0
"aag",0,0,6,1,0,42,0,0,0
"aagron",0,0,0,1,0,0,0,0,0
"aags",0,0,0,0,0,1,0,0,0
"aaid",1,0,0,0,0,0,0,0,0
"aaking",0,0,1,0,0,0,0,0,0
"aall",0,0,1,0,0,0,0,0,0
"aalready",0,1,0,0,0,0,0,0,0
"aalternativewhobeunderthepretensethatanoriginalattemptwasmadebytheplaintiff",0,0,0,1,0,0,0,0,0
"aamco",0,2,0,0,0,0,0,0,0
"aams",0,0,1,3,0,0,0,0,0
"aand",0,1,0,0,0,0,1,0,0
"aap",0,0,3,0,0,0,0,0,0
"aappeared",0,0,0,1,0,0,0,0,0
"aapply",0,0,0,2,0,0,0,0,0
"aaragon",0,0,0,1,0,0,0,0,0
"aargon",0,0,10,84,0,0,0,0,0
"aarp",0,0,1,0,0,0,0,0,0
"aas",0,1,3,3,0,0,0,1,0
"aasessed",0,0,0,0,1,0,0,0,0
"aasociated",0,0,0,0,1,0,0,0,0
"aau",0,0,4,0,0,0,0,0,0
"aauction",0,0,0,0,0,1,0,0,0
"aba",4,8,0,0,2,3,1,0,1
"aback",5,4,1,3,0,2,0,0,1
"abandon",13,14,16,10,2,41,2,0,3
"abandonded",1,0,0,0,0,0,0,0,0
"abandoned",1,0,0,0,0,0,0,0,0
"abandonment",1,0,8,6,1,4,0,0,1
"abandonned",0,0,0,1,0,0,0,0,0
"abartration",0,0,0,0,1,0,0,0,0
"abate",0,0,0,3,0,2,0,0,1
"abated",0,0,0,0,0,0,0,0,1
"abatement",0,0,3,3,0,16,0,1,7
"abaut",0,0,0,0,0,1,0,0,0
"abbott",0,0,0,4,0,0,0,0,0
"abbrev",0,0,0,1,0,0,0,0,0
"abbreviate",0,0,6,2,0,1,0,0,0
"abbreviated",1,1,6,1,0,0,0,1,0
"abbreviation",0,6,18,5,0,1,0,0,0
"abby",0,0,0,0,0,1,0,0,0
"abc",0,0,0,14,1,0,0,0,0
"abcd",0,1,1,0,0,0,0,0,0
"abd",1,0,5,2,1,0,0,0,0
"abdicate",1,2,0,0,1,0,0,0,0
"abdication",0,1,0,0,0,0,0,0,0
"abduction",0,0,0,0,0,1,0,0,0
"abe",0,0,0,0,0,1,0,0,0
"abec",0,0,0,0,0,1,0,0,0
"abel",0,0,2,0,0,0,0,0,0
"abele",0,0,4,0,0,0,0,0,0
"aberrant",0,1,0,0,0,0,0,0,0
"aberration",0,2,1,0,0,1,0,0,0
"abet",3,7,4,14,6,2,0,0,0
"abets",0,0,0,1,0,0,0,0,0
"abetting",0,1,0,2,0,0,0,0,0
"abettor",0,1,2,0,0,0,0,0,0
"abeyance",0,1,1,1,0,1,0,0,0
"abhor",0,1,0,0,0,0,0,0,0
"abhorrent",0,7,4,0,1,2,0,1,1
"abide",14,26,335,59,6,48,8,6,12
"abides",0,0,0,1,0,0,0,0,0
"abiding",0,1,0,0,0,1,0,0,0
"abililty",0,0,1,0,0,0,0,0,0
"abilitiy",0,0,0,0,0,1,0,0,0
"ability",183,570,2013,526,91,394,88,157,153
"abillity",0,0,1,0,0,0,0,0,0
"abilty",0,0,0,0,0,1,0,1,0
"abinding",0,0,1,0,0,0,0,0,0
"abisding",0,0,0,0,0,1,0,0,0
"abitration",0,0,0,2,0,0,0,0,0
"abject",0,0,1,1,0,2,0,0,0
"abjectly",0,1,0,0,0,0,0,0,1
"abjure",0,0,4,0,0,0,0,0,0
"ablaze",0,0,3,0,0,0,0,0,0
"able",1898,2676,6860,1884,926,2400,454,520,638
"abligation",0,1,0,0,0,0,0,0,0
"ablsolutely",0,1,0,0,0,0,0,0,0
"ablty",0,0,4,6,0,0,0,0,0
"ablut",0,0,0,1,0,0,0,0,0
"abnormal",1,5,6,0,2,2,4,0,0
"abnormally",0,0,0,0,0,1,0,1,0
"aboard",0,1,0,0,0,0,0,0,0
"abobe",0,0,1,0,0,0,0,0,0
"abode",0,0,2,1,0,4,0,0,0
"aboit",0,0,0,0,0,0,1,0,0
"aboiut",0,0,2,0,0,0,0,0,0
"abolish",1,1,8,3,0,2,0,0,0
"abolishment",0,0,0,0,0,1,0,0,0
"abominable",0,1,2,1,0,0,1,0,1
"abomination",0,0,2,0,0,1,0,0,0
"abondment",0,1,0,0,0,0,0,0,0
"abondoned",0,0,0,1,0,0,0,0,0
"aboout",0,0,0,1,0,0,0,0,0
"abort",0,1,0,2,0,2,0,0,0
"aborted",1,0,0,0,0,1,0,0,0
"abortive",1,0,0,3,2,0,0,0,0
"abosultely",0,0,1,0,0,0,0,0,0
"abot",1,1,0,0,0,0,0,0,0
"abou",0,1,0,0,0,0,0,0,0
"aboug",0,0,2,0,0,0,0,0,0
"abound",0,1,2,0,0,0,0,0,0
"abounds",1,0,0,0,0,0,0,0,0
"abount",0,1,2,0,0,0,0,0,0
"abour",0,1,0,0,0,2,0,0,0
"abous",0,0,1,0,0,0,0,0,0
"aboutd",0,0,0,0,0,1,0,0,0
"aboutedd",0,1,0,0,0,0,0,0,0
"abouts",0,1,0,1,1,0,0,0,4
"aboutsolutly",1,0,0,0,0,0,0,0,0
"aboutt",1,1,0,0,0,0,0,0,0
"aboutthis",0,1,0,0,0,0,0,0,0
"aboutxx",1,0,4,0,0,0,0,0,0
"abouve",0,0,2,0,0,1,0,0,0
"abouyxxxx",0,0,0,0,0,0,0,0,1
"aboved",0,0,3,0,0,0,0,0,0
"abovementioned",0,0,2,3,1,0,0,0,1
"aboyt",0,1,0,0,0,0,0,0,0
"abpe",0,0,0,0,1,0,0,0,0
"abpout",0,1,0,0,0,0,0,0,0
"abrams",0,0,3,0,0,0,0,0,0
"abramson",0,0,0,0,0,1,0,0,0
"abrasion",0,1,0,0,0,0,0,0,0
